# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;rosto risonho;lol|rindo|risada|rosto|rosto risonho
	🧑🏼‍💼;trabalhador de escritório: pele morena clara;arquiteto|colarinho branco|gerente|negócios|pele morena clara|trabalhador de escritório|trabalhador de escritório: pele morena clara
	🧑🏽‍💼;trabalhador de escritório: pele morena;arquiteto|colarinho branco|gerente|negócios|pele morena|trabalhador de escritório|trabalhador de escritório: pele morena
	🧑🏾‍💼;trabalhador de escritório: pele morena escura;arquiteto|colarinho branco|gerente|negócios|pele morena escura|trabalhador de escritório|trabalhador de escritório: pele morena escura
	🧑🏿‍💼;trabalhador de escritório: pele escura;arquiteto|colarinho branco|gerente|negócios|pele escura|trabalhador de escritório|trabalhador de escritório: pele escura
👨‍💼;funcionário de escritório;arquiteto|colarinho branco|empresário|funcionário de escritório|gerente|homem
	👨🏻‍💼;funcionário de escritório: pele clara;arquiteto|colarinho branco|empresário|funcionário de escritório|funcionário de escritório: pele clara|gerente|homem|pele clara
	👨🏼‍💼;funcionário de escritório: pele morena clara;arquiteto|colarinho branco|empresário|funcionário de escritório|funcionário de escritório: pele morena clara|gerente|homem|pele morena clara
	👨🏽‍💼;funcionário de escritório: pele morena;arquiteto|colarinho branco|empresário|funcionário de escritório|funcionário de escritório: pele morena|gerente|homem|pele morena
	👨🏾‍💼;funcionário de escritório: pele morena escura;arquiteto|colarinho branco|empresário|funcionário de escritório|funcionário de escritório: pele morena escura|gerente|homem|pele morena escura
	👨🏿‍💼;funcionário de escritório: pele escura;arquiteto|colarinho branco|empresário|funcionário de escritório|funcionário de escritório: pele escura|gerente|homem|pele escura
👩‍💼;funcionária de escritório;arquiteta|colarinho branco|empresária|funcionára de escritório|funcionária de escritório|gerente|mulher
	👩🏻‍💼;funcionária de escritório: pele clara;arquiteta|colarinho branco|empresária|funcionára de escritório|funcionária de escritório|funcionária de escritório: pele clara|gerente|mulher|pele clara
	👩🏼‍💼;funcionária de escritório: pele morena clara;arquiteta|colarinho branco|empresária|funcionára de escritório|funcionária de escritório|funcionária de escritório: pele morena clara|gerente|mulher|pele morena clara
	👩🏽‍💼;funcionária de escritório: pele morena;arquiteta|colarinho branco|empresária|funcionára de escritório|funcionária de escritório|funcionária de escritório: pele morena|gerente|mulher|pele morena
	👩🏾‍💼;funcionária de escritório: pele morena escura;arquiteta|colarinho branco|empresária|funcionára de escritório|funcionária de escritório|funcionária de escritório: pele morena escura|gerente|mulher|pele morena escura
	👩🏿‍💼;funcionária de escritório: pele escura;arquiteta|colarinho branco|empresária|funcionára de escritório|funcionária de escritório|funcionária de escritório: pele escura|gerente|mulher|pele escura
🧑‍🔬;cientista;biólogo|cientista|engenheiro|físico|químico
	🧑🏻‍🔬;cientista: pele clara;biólogo|cientista|cientista: pele clara|engenheiro|físico|pele clara|químico
	🧑🏼‍🔬;cientista: pele morena clara;biólogo|cientista|cientista: pele morena clara|engenheiro|físico|pele morena clara|químico
	🧑🏽‍🔬;cientista: pele morena;biólogo|cientista|cientista: pele morena|engenheiro|físico|pele morena|químico
	🧑🏾‍🔬;cientista: pele morena escura;biólogo|cientista|cientista: pele morena escura|engenheiro|físico|pele morena escura|químico
	🧑🏿‍🔬;cientista: pele escura;biólogo|cientista|cientista: pele escura|engenheiro|físico|pele escura|químico
👨‍🔬;cientista homem;biólogo|cientista homem|físico|homem|professor|químico
	👨🏻‍🔬;cientista homem: pele clara;biólogo|cientista homem|cientista homem: pele clara|físico|homem|pele clara|professor|químico
	👨🏼‍🔬;cientista homem: pele morena clara;biólogo|cientista homem|cientista homem: pele morena clara|físico|homem|pele morena clara|professor|químico
	👨🏽‍🔬;cientista homem: pele morena;biólogo|cientista homem|cientista homem: pele morena|físico|homem|pele morena|professor|químico
	👨🏾‍🔬;cientista homem: pele morena escura;biólogo|cientista homem|cientista homem: pele morena escura|físico|homem|pele morena escura|professor|químico
	👨🏿‍🔬;cientista homem: pele escura;biólogo|cientista homem|cientista homem: pele escura|físico|homem|pele escura|professor|químico
👩‍🔬;cientista mulher;bióloga|cientista mulher|física|mulher|professora|química
	👩🏻‍🔬;cientista mulher: pele clara;bióloga|cientista mulher|cientista mulher: pele clara|física|mulher|pele clara|professora|química
	👩🏼‍🔬;cientista mulher: pele morena clara;bióloga|cientista mulher|cientista mulher: pele morena clara|física|mulher|pele morena clara|professora|química
	👩🏽‍🔬;cientista mulher: pele morena;bióloga|cientista mulher|cientista mulher: pele morena|física|mulher|pele morena|professora|química
	👩🏾‍🔬;cientista mulher: pele morena escura;bióloga|cientista mulher|cientista mulher: pele morena escura|física|mulher|pele morena escura|professora|química
	👩🏿‍🔬;cientista mulher: pele escura;bióloga|cientista mulher|cientista mulher: pele escura|física|mulher|pele escura|professora|química
🧑‍💻;programador;desenvolvedor|inventor|programador|software|tecnólogo
	🧑🏻‍💻;programador: pele clara;desenvolvedor|inventor|pele clara|programador|programador: pele clara|software|tecnólogo
	🧑🏼‍💻;programador: pele morena clara;desenvolvedor|inventor|pele morena clara|programador|programador: pele morena clara|software|tecnólogo
	🧑🏽‍💻;programador: pele morena;desenvolvedor|inventor|pele morena|programador|programador: pele morena|software|tecnólogo
	🧑🏾‍💻;programador: pele morena escura;desenvolvedor|inventor|pele morena escura|programador|programador: pele morena escura|software|tecnólogo
	🧑🏿‍💻;programador: pele escura;desenvolvedor|inventor|pele escura|programador|programador: pele escura|software|tecnólogo
👨‍💻;tecnólogo;desenvolvedor|homem|inventor|programador|software|tecnólogo
	👨🏻‍💻;tecnólogo: pele clara;desenvolvedor|homem|inventor|pele clara|programador|software|tecnólogo|tecnólogo: pele clara
	👨🏼‍💻;tecnólogo: pele morena clara;desenvolvedor|homem|inventor|pele morena clara|programador|software|tecnólogo|tecnólogo: pele morena clara
	👨🏽‍💻;tecnólogo: pele morena;desenvolvedor|homem|inventor|pele morena|programador|software|tecnólogo|tecnólogo: pele morena
	👨🏾‍💻;tecnólogo: pele morena escura;desenvolvedor|homem|inventor|pele morena escura|programador|software|tecnólogo|tecnólogo: pele morena escura
	👨🏿‍💻;tecnólogo: pele escura;desenvolvedor|homem|inventor|pele escura|programador|software|tecnólogo|tecnólogo: pele escura
👩‍💻;tecnóloga;desenvolvedora|inventora|mulher|programadora|software|tecnóloga
	👩🏻‍💻;tecnóloga: pele clara;desenvolvedora|inventora|mulher|pele clara|programadora|software|tecnóloga|tecnóloga: pele clara
	👩🏼‍💻;tecnóloga: pele morena clara;desenvolvedora|inventora|mulher|pele morena clara|programadora|software|tecnóloga|tecnóloga: pele morena clara
	👩🏽‍💻;tecnóloga: pele morena;desenvolvedora|inventora|mulher|pele morena|programadora|software|tecnóloga|tecnóloga: pele morena
	👩🏾‍💻;tecnóloga: pele morena escura;desenvolvedora|inventora|mulher|pele morena escura|programadora|software|tecnóloga|tecnóloga: pele morena escura
	👩🏿‍💻;tecnóloga: pele escura;desenvolvedora|inventora|mulher|pele escura|programadora|software|tecnóloga|tecnóloga: pele escura
🧑‍🎤;cantor;ator|cantor|entretenimento|estrela|rock
	🧑🏻‍🎤;cantor: pele clara;ator|cantor|cantor: pele clara|entretenimento|estrela|pele clara|rock
	🧑🏼‍🎤;cantor: pele morena clara;ator|cantor|cantor: pele morena clara|entretenimento|estrela|pele morena clara|rock
	🧑🏽‍🎤;cantor: pele morena;ator|cantor|cantor: pele morena|entretenimento|estrela|pele morena|rock
	🧑🏾‍🎤;cantor: pele morena escura;ator|cantor|cantor: pele morena escura|entretenimento|estrela|pele morena escura|rock
	🧑🏿‍🎤;cantor: pele escura;ator|cantor|cantor: pele escura|entretenimento|estrela|pele escura|rock
👨‍🎤;cantor homem;artista|ator|cantor|homem|pop|rock
	👨🏻‍🎤;cantor homem: pele clara;artista|ator|cantor|cantor homem: pele clara|homem|pele clara|pop|rock
	👨🏼‍🎤;cantor homem: pele morena clara;artista|ator|cantor|cantor homem: pele morena clara|homem|pele morena clara|pop|rock
	👨🏽‍🎤;cantor homem: pele morena;artista|ator|cantor|cantor homem: pele morena|homem|pele morena|pop|rock
	👨🏾‍🎤;cantor homem: pele morena escura;artista|ator|cantor|cantor homem: pele morena escura|homem|pele morena escura|pop|rock
	👨🏿‍🎤;cantor homem: pele escura;artista|ator|cantor|cantor homem: pele escura|homem|pele escura|pop|rock
👩‍🎤;cantora;artista|atriz|cantora|mulher|pop|rock
	👩🏻‍🎤;cantora: pele clara;artista|atriz|cantora|cantora: pele clara|mulher|pele clara|pop|rock
	👩🏼‍🎤;cantora: pele morena clara;artista|atriz|cantora|cantora: pele morena clara|mulher|pele morena clara|pop|rock
	👩🏽‍🎤;cantora: pele morena;artista|atriz|cantora|cantora: pele morena|mulher|pele morena|pop|rock
	👩🏾‍🎤;cantora: pele morena escura;artista|atriz|cantora|cantora: pele morena escura|mulher|pele morena escura|pop|rock
	👩🏿‍🎤;cantora: pele escura;artista|atriz|cantora|cantora: pele escura|mulher|pele escura|pop|rock
🧑‍🎨;artista;artista|paleta
	🧑🏻‍🎨;artista: pele clara;artista|artista: pele clara|paleta|pele clara
	🧑🏼‍🎨;artista: pele morena clara;artista|artista: pele morena clara|paleta|pele morena clara
	🧑🏽‍🎨;artista: pele morena;artista|artista: pele morena|paleta|pele morena
	🧑🏾‍🎨;artista: pele morena escura;artista|artista: pele morena escura|paleta|pele morena escura
	🧑🏿‍🎨;artista: pele escura;artista|artista: pele escura|paleta|pele escura
👨‍🎨;artista plástico;artista|artista plástico|homem|pintura
	👨🏻‍🎨;artista plástico: pele clara;artista|artista plástico|artista plástico: pele clara|homem|pele clara|pintura
	👨🏼‍🎨;artista plástico: pele morena clara;artista|artista plástico|artista plástico: pele morena clara|homem|pele morena clara|pintura
	👨🏽‍🎨;artista plástico: pele morena;artista|artista plástico|artista plástico: pele morena|homem|pele morena|pintura
	👨🏾‍🎨;artista plástico: pele morena escura;artista|artista plástico|artista plástico: pele morena escura|homem|pele morena escura|pintura
	👨🏿‍🎨;artista plástico: pele escura;artista|artista plástico|artista plástico: pele escura|homem|pele escura|pintura
👩‍🎨;artista plástica;artista|artista plástica|mulher|pintura
	👩🏻‍🎨;artista plástica: pele clara;artista|artista plástica|artista plástica: pele clara|mulher|pele clara|pintura
	👩🏼‍🎨;artista plástica: pele morena clara;artista|artista plástica|artista plástica: pele morena clara|mulher|pele morena clara|pintura
	👩🏽‍🎨;artista plástica: pele morena;artista|artista plástica|artista plástica: pele morena|mulher|pele morena|pintura
	👩🏾‍🎨;artista plástica: pele morena escura;artista|artista plástica|artista plástica: pele morena escura|mulher|pele morena escura|pintura
	👩🏿‍🎨;artista plástica: pele escura;artista|artista plástica|artista plástica: pele escura|mulher|pele escura|pintura
🧑‍✈️;piloto;avião|piloto
	🧑🏻‍✈️;piloto: pele clara;avião|pele clara|piloto|piloto: pele clara
	🧑🏼‍✈️;piloto: pele morena clara;avião|pele morena clara|piloto|piloto: pele morena clara
	🧑🏽‍✈️;piloto: pele morena;avião|pele morena|piloto|piloto: pele morena
	🧑🏾‍✈️;piloto: pele morena escura;avião|pele morena escura|piloto|piloto: pele morena escura
	🧑🏿‍✈️;piloto: pele escura;avião|pele escura|piloto|piloto: pele escura
👨‍✈️;piloto de avião homem;avião|homem|piloto de avião homem
	👨🏻‍✈️;piloto de avião homem: pele clara;avião|homem|pele clara|piloto de avião homem|piloto de avião homem: pele clara
	👨🏼‍✈️;piloto de avião homem: pele morena clara;avião|homem|pele morena clara|piloto de avião homem|piloto de avião homem: pele morena clara
	👨🏽‍✈️;piloto de avião homem: pele morena;avião|homem|pele morena|piloto de avião homem|piloto de avião homem: pele morena
	👨🏾‍✈️;piloto de avião homem: pele morena escura;avião|homem|pele morena escura|piloto de avião homem|piloto de avião homem: pele morena escura
	👨🏿‍✈️;piloto de avião homem: pele escura;avião|homem|pele escura|piloto de avião homem|piloto de avião homem: pele escura
👩‍✈️;piloto de avião mulher;avião|mulher|piloto de avião mulher
	👩🏻‍✈️;piloto de avião mulher: pele clara;avião|mulher|pele clara|piloto de avião mulher|piloto de avião mulher: pele clara
	👩🏼‍✈️;piloto de avião mulher: pele morena clara;avião|mulher|pele morena clara|piloto de avião mulher|piloto de avião mulher: pele morena clara
	👩🏽‍✈️;piloto de avião mulher: pele morena;avião|mulher|pele morena|piloto de avião mulher|piloto de avião mulher: pele morena
	👩🏾‍✈️;piloto de avião mulher: pele morena escura;avião|mulher|pele morena escura|piloto de avião mulher|piloto de avião mulher: pele morena escura
	👩🏿‍✈️;piloto de avião mulher: pele escura;avião|mulher|pele escura|piloto de avião mulher|piloto de avião mulher: pele escura
🧑‍🚀;astronauta;astronauta|foguete
	🧑🏻‍🚀;astronauta: pele clara;astronauta|astronauta: pele clara|foguete|pele clara
	🧑🏼‍🚀;astronauta: pele morena clara;astronauta|astronauta: pele morena clara|foguete|pele morena clara
	🧑🏽‍🚀;astronauta: pele morena;astronauta|astronauta: pele morena|foguete|pele morena
	🧑🏾‍🚀;astronauta: pele morena escura;astronauta|astronauta: pele morena escura|foguete|pele morena escura
	🧑🏿‍🚀;astronauta: pele escura;astronauta|astronauta: pele escura|foguete|pele escura
👨‍🚀;astronauta homem;astronauta homem|espaço|foguete|homem
	👨🏻‍🚀;astronauta homem: pele clara;astronauta homem|astronauta homem: pele clara|espaço|foguete|homem|pele clara
	👨🏼‍🚀;astronauta homem: pele morena clara;astronauta homem|astronauta homem: pele morena clara|espaço|foguete|homem|pele morena clara
	👨🏽‍🚀;astronauta homem: pele morena;astronauta homem|astronauta homem: pele morena|espaço|foguete|homem|pele morena
